Objects
300
,,Global Angle Robot_1:Robot_1,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
240,0,-0.006378,-0.016945,0.007439,228.094498,-1250.389771,178.226837
241,0,-0.006469,-0.016665,0.007645,228.096939,-1250.400391,178.232712
242,0,-0.006761,-0.016673,0.007612,228.085724,-1250.395752,178.218552
243,0,-0.006518,-0.016730,0.007576,228.088638,-1250.407104,178.220490
244,0,-0.006673,-0.016845,0.007546,228.085892,-1250.399780,178.213531
245,0,-0.006605,-0.016747,0.007471,228.085510,-1250.398315,178.218948
246,0,-0.006708,-0.016816,0.007503,228.098434,-1250.399536,178.217194
247,0,-0.006632,-0.016713,0.007518,228.095428,-1250.403320,178.223679
248,0,-0.006732,-0.016939,0.007471,228.087326,-1250.394775,178.212006
249,0,-0.006466,-0.016738,0.007323,228.098251,-1250.398315,178.210938
250,0,-0.006555,-0.016818,0.007448,228.086685,-1250.402466,178.217896
251,0,-0.006538,-0.016483,0.007466,228.096115,-1250.416504,178.223160
252,0,-0.006599,-0.016674,0.007537,228.091461,-1250.394165,178.218781
253,0,-0.006602,-0.017249,0.007324,228.097794,-1250.397705,178.210129
254,0,-0.006668,-0.016859,0.007491,228.099289,-1250.418701,178.233688
255,0,-0.006553,-0.016854,0.007507,228.097183,-1250.407959,178.222031
256,0,-0.006549,-0.016802,0.007483,228.092468,-1250.407471,178.229904
257,0,-0.006620,-0.016634,0.007384,228.103775,-1250.397461,178.213684
258,0,-0.006621,-0.016564,0.007526,228.108444,-1250.410156,178.225067
259,0,-0.006449,-0.016623,0.007489,228.106491,-1250.422363,178.235428
260,0,-0.006578,-0.017076,0.007350,228.096664,-1250.408936,178.223969
261,0,-0.006574,-0.017217,0.007464,228.093552,-1250.403809,178.214874
262,0,-0.006558,-0.016759,0.007540,228.094406,-1250.413208,178.224991
263,0,-0.006688,-0.016742,0.007537,228.089966,-1250.415161,178.226547
264,0,-0.006547,-0.016822,0.007559,228.099808,-1250.398926,178.220139
265,0,-0.006613,-0.016932,0.007440,228.091293,-1250.408936,178.226761
266,0,-0.006710,-0.016905,0.007521,228.103027,-1250.395264,178.227051
267,0,-0.006731,-0.017116,0.007563,228.096359,-1250.403687,178.228622
268,0,-0.006470,-0.016905,0.007470,228.097321,-1250.402466,178.231720
269,0,-0.006598,-0.016949,0.007391,228.092484,-1250.396484,178.228058
